recordid,start,fwcode,mcode,section,errtype,varname,errordesc,start_fmt
810,December 10, 2025 13:20,CJ,SDI000012001028,Section E – Activities during pregnancy,Missing,e1_4,Missing required Section E activity field: e1_4. Lifting heavy objects (heavier than one 5L jerrycan) at work while standin (e1_4) when interview was conducted (a1_1 = Yes - interview can be conducted),
810,December 10, 2025 13:20,CJ,SDI000012001028,Section J – Ecoanxiety / extreme heat,Missing,j1_1,"Missing j1_1. In the last two weeks, how often have you felt worried or stressed when th (j1_1) when interview was conducted (a1_1 = Yes - interview can be conducted)",
810,December 10, 2025 13:20,CJ,SDI000012001028,Section H – Woman's mental well-being,Missing,h1_3,Missing WHO-5 item: h1_3. You have felt active and vigorous. (h1_3) when interview was conducted (a1_1 = Yes - interview can be conducted),
810,December 10, 2025 13:20,CJ,SDI000012001028,Section I – Woman's overall quality of life,Missing,i1_1,Missing WHOQOL-BREF item: i1_1. How would you rate your quality of life?  (i1_1) when interview was conducted (a1_1 = Yes - interview can be conducted),
810,December 10, 2025 13:20,CJ,SDI000012001028,Section H – Woman's mental well-being,Missing,h1_2,Missing WHO-5 item: h1_2. You have felt calm and relaxed. (h1_2) when interview was conducted (a1_1 = Yes - interview can be conducted),
810,December 10, 2025 13:20,CJ,SDI000012001028,Section E – Activities during pregnancy,Missing,e1_5,"Missing required Section E activity field: e1_5. Working in direct sunlight (e.g., farming, selling at market, household ch (e1_5) when interview was conducted (a1_1 = Yes - interview can be conducted)",
810,December 10, 2025 13:20,CJ,SDI000012001028,Section I – Woman's overall quality of life,Missing,i1_19,Missing WHOQOL-BREF item: i1_19. How satisfied are you with yourself?  (i1_19) when interview was conducted (a1_1 = Yes - interview can be conducted),
810,December 10, 2025 13:20,CJ,SDI000012001028,Section E – Activities during pregnancy,Missing,e1_8,"Missing e1_8. During the current or last pregnancy, did you (have you) make (made) any c (e1_8) when interview was conducted (a1_1 = Yes - interview can be conducted)",
810,December 10, 2025 13:20,CJ,SDI000012001028,Section H – Woman's mental well-being,Missing,h1_1,Missing WHO-5 item: h1_1. You have felt cheerful and in good spirits. (h1_1) when interview was conducted (a1_1 = Yes - interview can be conducted),
810,December 10, 2025 13:20,CJ,SDI000012001028,Section I – Woman's overall quality of life,Missing,i1_4,Missing WHOQOL-BREF item: i1_4. How much do you need any medical treatment to function in your daily life? (i1_4) when interview was conducted (a1_1 = Yes - interview can be conducted),
810,December 10, 2025 13:20,CJ,SDI000012001028,Section I – Woman's overall quality of life,Missing,i1_7,Missing WHOQOL-BREF item: i1_7. How well are you able to concentrate?  (i1_7) when interview was conducted (a1_1 = Yes - interview can be conducted),
810,December 10, 2025 13:20,CJ,SDI000012001028,Section D – Heat stress and breastfeeding practices,Missing,d1_1,Missing required field: d1_1. Are you currently breastfeeding?  (d1_1) – required for all completed interviews (a1_1 = Yes - interview can be conducted),
810,December 10, 2025 13:20,CJ,SDI000012001028,Section I – Woman's overall quality of life,Missing,i1_12,Missing WHOQOL-BREF item: i1_12. Have you enough money to meet your needs? (i1_12) when interview was conducted (a1_1 = Yes - interview can be conducted),
810,December 10, 2025 13:20,CJ,SDI000012001028,Section I – Woman's overall quality of life,Missing,i1_16,Missing WHOQOL-BREF item: i1_16. How satisfied are you with your sleep?  (i1_16) when interview was conducted (a1_1 = Yes - interview can be conducted),
810,December 10, 2025 13:20,CJ,SDI000012001028,Section H – Woman's mental well-being,Missing,h1_5,Missing WHO-5 item: h1_5. Your daily life has been filled with things that interest you. (h1_5) when interview was conducted (a1_1 = Yes - interview can be conducted),
810,December 10, 2025 13:20,CJ,SDI000012001028,Section E – Activities during pregnancy,Missing,e1_3,Missing required Section E activity field: e1_3. Lifting heavy objects (heavier than one 5L jerrycan) at home while standin (e1_3) when interview was conducted (a1_1 = Yes - interview can be conducted),
810,December 10, 2025 13:20,CJ,SDI000012001028,Section I – Woman's overall quality of life,Missing,i1_8,Missing WHOQOL-BREF item: i1_8. How safe do you feel in your daily life?  (i1_8) when interview was conducted (a1_1 = Yes - interview can be conducted),
810,December 10, 2025 13:20,CJ,SDI000012001028,Section I – Woman's overall quality of life,Missing,i1_15,Missing WHOQOL-BREF item: i1_15. How well are you able to get around?  (i1_15) when interview was conducted (a1_1 = Yes - interview can be conducted),
810,December 10, 2025 13:20,CJ,SDI000012001028,Section I – Woman's overall quality of life,Missing,i1_13,Missing WHOQOL-BREF item: i1_13. How available to you is the information that you need in your day-to-day  (i1_13) when interview was conducted (a1_1 = Yes - interview can be conducted),
810,December 10, 2025 13:20,CJ,SDI000012001028,Section I – Woman's overall quality of life,Missing,i1_14,Missing WHOQOL-BREF item: i1_14. To what extent do you have the opportunity for leisure activities? (i1_14) when interview was conducted (a1_1 = Yes - interview can be conducted),
810,December 10, 2025 13:20,CJ,SDI000012001028,Section I – Woman's overall quality of life,Missing,i1_23,Missing WHOQOL-BREF satisfaction item: i1_23. How satisfied are you with the conditions of your living place?  (i1_23) when interview was conducted (a1_1 = Yes - interview can be conducted),
810,December 10, 2025 13:20,CJ,SDI000012001028,Section I – Woman's overall quality of life,Missing,i1_5,Missing WHOQOL-BREF item: i1_5. How much do you enjoy life?  (i1_5) when interview was conducted (a1_1 = Yes - interview can be conducted),
810,December 10, 2025 13:20,CJ,SDI000012001028,Section I – Woman's overall quality of life,Missing,i1_11,Missing WHOQOL-BREF item: i1_11. Are you able to accept your bodily appearance?  (i1_11) when interview was conducted (a1_1 = Yes - interview can be conducted),
810,December 10, 2025 13:20,CJ,SDI000012001028,Section E – Activities during pregnancy,Missing,e1_6,Missing required Section E activity field: e1_6. Cooking near an open fire or a heat source (e1_6) when interview was conducted (a1_1 = Yes - interview can be conducted),
810,December 10, 2025 13:20,CJ,SDI000012001028,Section I – Woman's overall quality of life,Missing,i1_6,Missing WHOQOL-BREF item: i1_6. To what extent do you feel your life to be meaningful?  (i1_6) when interview was conducted (a1_1 = Yes - interview can be conducted),
810,December 10, 2025 13:20,CJ,SDI000012001028,Section I – Woman's overall quality of life,Missing,i1_3,Missing WHOQOL-BREF item: i1_3. To what extent do you feel that (physical) pain prevents you from doing wh (i1_3) when interview was conducted (a1_1 = Yes - interview can be conducted),
810,December 10, 2025 13:20,CJ,SDI000012001028,Section I – Woman's overall quality of life,Missing,i1_22,Missing WHOQOL-BREF satisfaction item: i1_22. How satisfied are you with the support you get from your friends?  (i1_22) when interview was conducted (a1_1 = Yes - interview can be conducted),
810,December 10, 2025 13:20,CJ,SDI000012001028,Section G – Visual analogue scale,Missing,g1_2,Missing required field: g1_2. Rate your thermal comfort based on these emojis (g1_2) when interview was conducted (a1_1 = Yes - interview can be conducted),
810,December 10, 2025 13:20,CJ,SDI000012001028,Section I – Woman's overall quality of life,Missing,i1_25,Missing WHOQOL-BREF satisfaction item: i1_25. How satisfied are you with your transport?  (i1_25) when interview was conducted (a1_1 = Yes - interview can be conducted),
810,December 10, 2025 13:20,CJ,SDI000012001028,Section I – Woman's overall quality of life,Missing,i1_24,Missing WHOQOL-BREF satisfaction item: i1_24. How satisfied are you with your access to health services?  (i1_24) when interview was conducted (a1_1 = Yes - interview can be conducted),
